no,username,password,symbol,side,volume,sl,tp,type,price
1,arr7493737+58@gmail.com,4f48e59b13,USDJPY,BUY,0.01,152,0,LIMIT,154
2,sp2457318+40@gmail.com,a208f08995,USDJPY,BUY,0.01,152,0,LIMIT,154
3,haklaj720+40@gmail.com,2a14e1d725,USDJPY,BUY,0.01,152,0,LIMIT,154
4,arr7493737+59@gmail.com,4cbbbbc117,USDJPY,BUY,0.01,152,0,LIMIT,154
5,sp2457318+41@gmail.com,91dcd1a189,USDJPY,BUY,0.01,152,0,LIMIT,154
6,haklaj720+41@gmail.com,9d30dd89ed,USDJPY,BUY,0.01,152,0,LIMIT,154
7,arr7493737+70@gmail.com,34cd38d8c6,USDJPY,BUY,0.01,152,0,LIMIT,154
8,sp2457318+52@gmail.com,f357aa1cfe,USDJPY,BUY,0.01,152,0,LIMIT,154
9,haklaj720+52@gmail.com,9359881af5,USDJPY,BUY,0.01,152,0,LIMIT,154
14,arr7493737+100@gmail.com,e80412643e,USDJPY,BUY,0.01,152,0,LIMIT,154
15,haklaj720+42@gmail.com,ac2932749f,USDJPY,BUY,0.01,152,0,LIMIT,154
16,sp2457318+229@gmail.com,02c1647043,USDJPY,BUY,0.01,152,0,LIMIT,154
17,arr7493737+60@gmail.com,155a9e826b,USDJPY,BUY,0.01,152,0,LIMIT,154
18,haklaj720+43@gmail.com,50073ab421,USDJPY,BUY,0.01,152,0,LIMIT,154
19,sp2457318+230@gmail.com,72608066f1,USDJPY,BUY,0.01,152,0,LIMIT,154
20,arr7493737+61@gmail.com,dcb3e5be9d,USDJPY,BUY,0.01,152,0,LIMIT,154
21,haklaj720+44@gmail.com,63f44c32c3,USDJPY,BUY,0.01,152,0,LIMIT,154
22,sp2457318+42@gmail.com,4a14646324,USDJPY,BUY,0.01,152,0,LIMIT,154
23,arr7493737+62@gmail.com,8761b6997b,USDJPY,BUY,0.01,152,0,LIMIT,154
24,haklaj720+45@gmail.com,55c8dfde59,USDJPY,BUY,0.01,152,0,LIMIT,154
25,sp2457318+43@gmail.com,73754e3379,USDJPY,BUY,0.01,152,0,LIMIT,154
26,arr7493737+63@gmail.com,0eed60623c,USDJPY,BUY,0.01,152,0,LIMIT,154
27,haklaj720+46@gmail.com,67662545db,USDJPY,BUY,0.01,152,0,LIMIT,154
28,sp2457318+44@gmail.com,31a2bab0f2,USDJPY,BUY,0.01,152,0,LIMIT,154
29,arr7493737+64@gmail.com,590c218eee,USDJPY,BUY,0.01,152,0,LIMIT,154
30,haklaj720+47@gmail.com,fea71f19b7,USDJPY,BUY,0.01,152,0,LIMIT,154
31,sp2457318+45@gmail.com,e848c43579,USDJPY,BUY,0.01,152,0,LIMIT,154
32,arr7493737+65@gmail.com,1705703403,USDJPY,BUY,0.01,152,0,LIMIT,154
33,haklaj720+48@gmail.com,d2061981cb,USDJPY,BUY,0.01,152,0,LIMIT,154
34,sp2457318+46@gmail.com,9f2d557384,USDJPY,BUY,0.01,152,0,LIMIT,154
35,arr7493737+66@gmail.com,133a6d9994,USDJPY,BUY,0.01,152,0,LIMIT,154
36,haklaj720+49@gmail.com,93d27e7448,USDJPY,BUY,0.01,152,0,LIMIT,154
37,sp2457318+47@gmail.com,ea0492037c,USDJPY,BUY,0.01,152,0,LIMIT,154
38,arr7493737+67@gmail.com,ece4e68fc0,USDJPY,BUY,0.01,152,0,LIMIT,154
39,haklaj720+50@gmail.com,72f183464d,USDJPY,BUY,0.01,152,0,LIMIT,154
40,sp2457318+48@gmail.com,77e80e7dea,USDJPY,BUY,0.01,152,0,LIMIT,154
41,arr7493737+68@gmail.com,3c3ecf5304,USDJPY,BUY,0.01,152,0,LIMIT,154
42,haklaj720+55@gmail.com,9a35dfe99c,USDJPY,BUY,0.01,152,0,LIMIT,154
43,sp2457318+49@gmail.com,e3773f3602,USDJPY,BUY,0.01,152,0,LIMIT,154
44,arr7493737+73@gmail.com,b9a538bf34,USDJPY,BUY,0.01,152,0,LIMIT,154
45,haklaj720+56@gmail.com,de63695694,USDJPY,BUY,0.01,152,0,LIMIT,154
46,sp2457318+50@gmail.com,0048b2e275,USDJPY,BUY,0.01,152,0,LIMIT,154
47,arr7493737+74@gmail.com,25f2020a36,USDJPY,BUY,0.01,152,0,LIMIT,154
48,haklaj720+57@gmail.com,c1c25d37d8,USDJPY,BUY,0.01,152,0,LIMIT,154
49,sp2457318+55@gmail.com,2cbf14eb6d,USDJPY,BUY,0.01,152,0,LIMIT,154
50,arr7493737+75@gmail.com,315fab84fc,USDJPY,BUY,0.01,152,0,LIMIT,154
51,haklaj720+58@gmail.com,6e5206cb01,USDJPY,BUY,0.01,152,0,LIMIT,154
52,sp2457318+56@gmail.com,2334fe4e27,USDJPY,BUY,0.01,152,0,LIMIT,154
53,arr7493737+76@gmail.com,8d3d6692e1,USDJPY,BUY,0.01,152,0,LIMIT,154
54,haklaj720+59@gmail.com,c32258cda1,USDJPY,BUY,0.01,152,0,LIMIT,154
55,sp2457318+57@gmail.com,1d16b053bb,USDJPY,BUY,0.01,152,0,LIMIT,154
56,arr7493737+77@gmail.com,e634f87d9c,USDJPY,BUY,0.01,152,0,LIMIT,154
57,haklaj720+60@gmail.com,a301a45554,USDJPY,BUY,0.01,152,0,LIMIT,154
58,sp2457318+58@gmail.com,55b9791112,USDJPY,BUY,0.01,152,0,LIMIT,154
59,arr7493737+78@gmail.com,b35960ea5e,USDJPY,BUY,0.01,152,0,LIMIT,154
60,haklaj720+61@gmail.com,bd7badd7d2,USDJPY,BUY,0.01,152,0,LIMIT,154
61,sp2457318+59@gmail.com,f40b2d520c,USDJPY,BUY,0.01,152,0,LIMIT,154
62,arr7493737+79@gmail.com,fdc9aceabb,USDJPY,BUY,0.01,152,0,LIMIT,154
63,haklaj720+62@gmail.com,e32fed08b7,USDJPY,BUY,0.01,152,0,LIMIT,154
64,sp2457318+60@gmail.com,a52e22ba17,USDJPY,BUY,0.01,152,0,LIMIT,154
65,arr7493737+80@gmail.com,5f0f435c3a,USDJPY,BUY,0.01,152,0,LIMIT,154
66,haklaj720+63@gmail.com,9fd86b2e66,USDJPY,BUY,0.01,152,0,LIMIT,154
67,sp2457318+61@gmail.com,fafc917450,USDJPY,BUY,0.01,152,0,LIMIT,154
68,arr7493737+81@gmail.com,65f6e4e127,USDJPY,BUY,0.01,152,0,LIMIT,154
69,haklaj720+64@gmail.com,20f275e606,USDJPY,BUY,0.01,152,0,LIMIT,154
70,sp2457318+62@gmail.com,407d091ebf,USDJPY,BUY,0.01,152,0,LIMIT,154
71,arr7493737+82@gmail.com,e93638db2e,USDJPY,BUY,0.01,152,0,LIMIT,154
72,haklaj720+65@gmail.com,e719f2956b,USDJPY,BUY,0.01,152,0,LIMIT,154
73,sp2457318+63@gmail.com,8b5dfe7708,USDJPY,BUY,0.01,152,0,LIMIT,154
74,arr7493737+83@gmail.com,218307c150,USDJPY,BUY,0.01,152,0,LIMIT,154
75,haklaj720+66@gmail.com,9ab4902add,USDJPY,BUY,0.01,152,0,LIMIT,154
76,sp2457318+64@gmail.com,3dfe9de50a,USDJPY,BUY,0.01,152,0,LIMIT,154
77,arr7493737+84@gmail.com,d014c6127e,USDJPY,BUY,0.01,152,0,LIMIT,154
78,haklaj720+67@gmail.com,208b9082d8,USDJPY,BUY,0.01,152,0,LIMIT,154
79,sp2457318+65@gmail.com,5aa0605d6b,USDJPY,BUY,0.01,152,0,LIMIT,154
80,arr7493737+85@gmail.com,78b9c8c3f2,USDJPY,BUY,0.01,152,0,LIMIT,154
81,haklaj720+68@gmail.com,94faaf698e,USDJPY,BUY,0.01,152,0,LIMIT,154
82,sp2457318+66@gmail.com,daabfcd9c4,USDJPY,BUY,0.01,152,0,LIMIT,154
83,arr7493737+86@gmail.com,4d50f0ca9b,USDJPY,BUY,0.01,152,0,LIMIT,154
84,haklaj720+69@gmail.com,63b8988d37,USDJPY,BUY,0.01,152,0,LIMIT,154
85,sp2457318+67@gmail.com,ac8f0cdfbf,USDJPY,BUY,0.01,152,0,LIMIT,154
86,arr7493737+87@gmail.com,6531ccdd34,USDJPY,BUY,0.01,152,0,LIMIT,154
87,sp2457318+68@gmail.com,fe8cecf14a,USDJPY,BUY,0.01,152,0,LIMIT,154
88,arr7493737+99@gmail.com,be4401d368,USDJPY,BUY,0.01,152,0,LIMIT,154
89,sp2457318+69@gmail.com,c0d60cebd3,USDJPY,BUY,0.01,152,0,LIMIT,154
91,steiner_burt3@outlook.com,4c93ab9007,USDJPY,BUY,0.01,152,0,LIMIT,154
92,verna_landry33@outlook.com,a8c3eff887,USDJPY,BUY,0.01,152,0,LIMIT,154
93,wade-randell73@outlook.com,d500856fbf,USDJPY,BUY,0.01,152,0,LIMIT,154
94,woodrow-donovan32@outlook.com,96c3df28e2,USDJPY,BUY,0.01,152,0,LIMIT,154
95,abril-choi19@outlook.com,3752721332,USDJPY,BUY,0.01,152,0,LIMIT,154
96,alecia_bower46@outlook.com,d92336d0ca,USDJPY,BUY,0.01,152,0,LIMIT,154
97,amaris-cavanaugh31@outlook.com,e7b585b1ff,USDJPY,BUY,0.01,152,0,LIMIT,154
98,arlen_parra63@outlook.com,9cc7136464,USDJPY,BUY,0.01,152,0,LIMIT,154
99,bryce-haywood25@outlook.com,81909af939,USDJPY,BUY,0.01,152,0,LIMIT,154
100,cano_miley10@outlook.com,8f3d4af4f8,USDJPY,BUY,0.01,152,0,LIMIT,154
